DATE,COE,GVA,OUTPUT,IC,D29-D39,INDUSTRY
2003,2684,2573,7828,5255,-426,61
2003,12753,18513,37179,18666,352,62
2003,1944,2606,7198,4592,12,63
2003,3161,5776,13996,8220,0,64
2003,9446,13306,31730,18424,577,65
2003,7161,8062,13942,5880,196,66
2003,5428,8375,16489,8114,446,67
2003,15219,22695,47555,24860,1021,68
2003,6850,11238,21735,10497,109,69
2003,4515,11086,19354,8268,5,70
2003,11350,22238,39579,17341,516,71
2003,18750,24607,41470,16863,286,72
2003,2154,3392,5356,1964,33,73
2003,24648,42360,88370,46010,899,74
2003,4204,12739,45094,32355,334,75
2003,7921,10376,20730,10354,155,76
2003,5995,21728,37635,15907,-68,77
2003,0,120564,135461,14897,0,78
2003,1942,4170,5424,1254,109,79
2003,7526,13564,20511,6947,229,80
2003,6055,10155,13753,3598,110,81
2003,6439,10449,18951,8502,138,82
2003,12479,17580,29324,11744,175,83
2003,3188,7098,9793,2695,68,84
2003,3812,7110,11663,4553,79,85
2003,4100,5932,10258,4326,78,86
2003,1135,1564,2301,737,1,87
2003,5976,10599,18163,7564,205,88
2003,7859,12188,21940,9752,74,89
2003,4040,5407,13670,8263,97,90
2003,1288,2125,3779,1654,24,91
2003,3040,5660,10097,4437,44,92
2003,8264,11369,20621,9252,166,93
2003,46249,57839,105454,47615,0,94
2003,57442,65288,84208,18920,148,95
2003,39857,54353,72394,18041,36,96
2003,16208,21510,35727,14217,55,97
2003,1328,2400,5825,3425,24,98
2003,1899,2252,3716,1464,8,99
2003,2217,8033,11956,3923,121,100
2003,1598,3336,10015,6679,194,101
2003,6486,8633,12015,3382,75,102
2003,922,1180,2571,1391,27,103
2003,2491,10044,16528,6484,200,104
2003,4374,4805,4805,0,0,105
2004,2769,9335,19048,9713,-402,1
2004,184,336,832,496,2,2
2004,75,372,1029,657,7,3
2004,196,218,657,439,15,4
2004,1685,18522,24483,5961,105,5
2004,1206,1799,4921,3122,51,6
2004,197,1906,2628,722,7,7
2004,2375,2958,11168,8210,24,8
2004,1574,2056,6032,3976,21,9
2004,212,221,1121,900,-1,10
2004,1137,1394,6154,4760,14,11
2004,825,980,5217,4237,9,12
2004,2594,3126,7246,4120,55,13
