START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
4644,6901,0.004342289,0.004853717,0.000511428,0.000511428,11.77784344,8,Manufactured goods - meat processing,0
4135,6901,0.003866358,0.004853717,0.000987359,0.000987359,25.53718512,9,"Manufactured goods - fish, vegetables and fruit processing",0
2288,2652,0.002139353,0.001865245,-0.000274108,0.000274108,12.81265878,10,Manufactured goods - food oils and fats,0
3108,3634,0.00290608,0.00255592,-0.000350159,0.000350159,12.04918653,11,Manufactured goods - dairy,0
3662,4231,0.003424088,0.002975812,-0.000448276,0.000448276,13.09183642,12,Manufactured goods - grain and starch,0
3292,3759,0.003078126,0.002643837,-0.000434288,0.000434288,14.10884415,13,Manufactured goods - bakery and farinaceous,0
8050,10097,0.007527008,0.007101576,-0.000425432,0.000425432,5.652073174,14,Manufactured goods - other foods,0
2435,3231,0.002276803,0.002272476,-4.33E-06,4.33E-06,0.190178948,15,Manufactured goods - animal feeds,0
16128,17699,0.015080198,0.012448331,-0.002631866,0.002631866,17.45246316,16,Manufactured goods - alcohol and tobacco,0
1255,1358,0.001173465,0.000955129,-0.000218336,0.000218336,18.60609392,17,Manufactured goods - bottled non-alcoholic drinks,0
5144,5502,0.004809805,0.003869751,-0.000940054,0.000940054,19.54453455,18,Manufactured goods -  textiles,0
1303,1131,0.001218347,0.000795472,-0.000422875,0.000422875,34.70891298,19,Manufactured goods -  clothes,0
1655,2268,0.001547478,0.001595164,4.77E-05,4.77E-05,3.082434775,20,Manufactured goods -  leather,0
8219,8568,0.007685029,0.006026177,-0.001658852,0.001658852,21.58550085,21,"Manufactured goods -  wood, cork and straw (exc. furniture)",0
16675,19014,0.01559166,0.013373217,-0.002218443,0.002218443,14.22839518,22,Manufactured goods -  paper,0
9492,8139,0.008875325,0.005724446,-0.003150879,0.003150879,35.50156191,23,Manufactured goods -  books and recordings,0
26871,37945,0.025125248,0.026688057,0.00156281,0.00156281,6.220077907,24,Manufactured goods -  coke and refined petroleum,0
3849,4128,0.003598939,0.002903368,-0.00069557,0.00069557,19.32708501,25,"Manufactured goods -  paints, varnishes, inks and mastics",0
3603,4032,0.003368921,0.002835848,-0.000533073,0.000533073,15.82325617,26,Manufactured goods -  cleaning products,0
4119,4708,0.003851397,0.003311303,-0.000540095,0.000540095,14.02335308,27,Manufactured goods - other chemicals,0
5648,5318,0.005281061,0.003740337,-0.001540724,0.001540724,29.17451626,28,Manufactured goods -  inorganic chemicals,0
18636,18260,0.017425258,0.012842902,-0.004582356,0.004582356,26.29720604,29,Manufactured goods -  petrochemicals,0
1907,1997,0.001783106,0.001404561,-0.000378546,0.000378546,21.22958478,30,Manufactured goods -  dyestuffs and agro-chemicals,0
5560,14293,0.005198778,0.010052771,0.004853993,0.004853993,93.3679607,31,Manufactured goods -  pharmaceuticals,0
20067,22720,0.018763289,0.015979778,-0.002783511,0.002783511,14.83487783,32,Manufactured goods -  rubber and plastic,0
7027,7952,0.006570471,0.005592922,-0.000977548,0.000977548,14.8778984,33,"Manufactured goods -  cement, lime, plaster and concrete",0
8601,9047,0.008042211,0.006363074,-0.001679137,0.001679137,20.87904682,34,"Manufactured goods -  glass, stone and earthenware",0
10902,12054,0.01019372,0.008478004,-0.001715716,0.001715716,16.83110778,35,Manufactured goods -  iron and steel (non-fabricated),0
10343,17625,0.009671037,0.012396284,0.002725247,0.002725247,28.17947031,36,Manufactured goods -  other non-fabricated metals,0
2113,4042,0.001975723,0.002842881,0.000867158,0.000867158,43.89066686,37,Manufactured goods -  arms,0
23651,28665,0.022114444,0.020161106,-0.001953338,0.001953338,8.83286055,38,Manufactured goods -  other fabricated metal products,0
28105,36492,0.026279077,0.025666111,-0.000612966,0.000612966,2.332524845,39,"Manufactured goods -  computers, electronics and optical",0
11072,12579,0.010352675,0.008847255,-0.001505421,0.001505421,14.54137216,40,Manufactured goods -  electricals,0
11683,14915,0.01092398,0.010490246,-0.000433734,0.000433734,3.970475962,41,Manufactured goods -  other machinery and equipment,0
18568,24756,0.017361676,0.017411768,5.01E-05,5.01E-05,0.288566611,42,Manufactured goods -  motor vehicles,0
555,690,0.000518943,0.000485301,-3.36E-05,3.36E-05,6.474699533,43,Manufactured goods -  ships and boats,0
1275,4814,0.001192166,0.003385856,0.00219369,0.00219369,184.0087706,44,Manufactured goods -  aircraft and spacecraft,0
355,675,0.000331936,0.000474751,0.000142815,0.000142815,43.02486021,45,Manufactured goods -  other transport equipment,0
2412,2582,0.002255297,0.001816012,-0.000439286,0.000439286,19.47796676,46,Manufactured goods -  furniture,0
8070,10079,0.007545709,0.007088916,-0.000456793,0.000456793,6.053678985,47,Manufactured goods -  other,0
776,1128,0.000725585,0.000793362,6.78E-05,6.78E-05,9.344184348,48,Repair - ships and boats,0
3509,4134,0.003281028,0.002907588,-0.00037344,0.00037344,11.38179863,49,Repair - aircraft and spacecraft,0
10873,11316,0.010166604,0.007958942,-0.002207662,0.002207662,21.71484205,50,Other repair and installation,0
25810,49291,0.024133178,0.0346681,0.010534921,0.010534921,43.65326854,51,Electricity,0
