START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
896,1097.681446,0.00119713,0.001466593,-0.000269463,0.000269463,22.50908999,103,Repair of computers and household goods,1
794,1812.785142,0.001060849,0.00242203,-0.001361181,0.001361181,128.3104713,104,Other personal services,1
0,0,0,0,0,0,0,105,Direct employment of domestic staff,1
11206,17322,0.01047797,0.011398947,-0.000920978,0.000920978,8.78965755,1,Agricultural products,0
551,1028,0.000515203,0.000676488,-0.000161285,0.000161285,31.30513464,2,Forestry products and services,0
948,1336,0.00088641,0.000879171,7.2398E-06,7.2398E-06,0.816754715,3,Fish,0
2300,2858,0.002150574,0.001880741,0.000269833,0.000269833,12.54702622,4,Coal,0
29831,39557,0.027892943,0.026030953,0.00186199,0.00186199,6.675487763,5,"Oil, gas and metal ores",0
5305,6272,0.004960345,0.004127364,0.000832981,0.000832981,16.79281013,6,Other mining products,0
2920,4159,0.002730294,0.002736879,-6.5855E-06,6.5855E-06,0.241201258,7,Oil and gas support services,0
4644,7547,0.004342289,0.004966393,-0.000624104,0.000624104,14.37268916,8,Manufactured goods - meat processing,0
4135,7208,0.003866358,0.00474331,-0.000876952,0.000876952,22.68160742,9,"Manufactured goods - fish, vegetables and fruit processing",0
2288,2752,0.002139353,0.001810986,0.000328367,0.000328367,15.34890057,10,Manufactured goods - food oils and fats,0
3108,4173,0.00290608,0.002746092,0.000159988,0.000159988,5.505274422,11,Manufactured goods - dairy,0
3662,4563,0.003424088,0.003002736,0.000421351,0.000421351,12.30550685,12,Manufactured goods - grain and starch,0
3292,4198,0.003078126,0.002762544,0.000315582,0.000315582,10.25240876,13,Manufactured goods - bakery and farinaceous,0
8050,11357,0.007527008,0.007473608,5.34E-05,5.34E-05,0.70944484,14,Manufactured goods - other foods,0
2435,3655,0.002276803,0.002405216,-0.000128413,0.000128413,5.640052724,15,Manufactured goods - animal feeds,0
16128,18616,0.015080198,0.012250479,0.002829718,0.002829718,18.76446424,16,Manufactured goods - alcohol and tobacco,0
1255,1648,0.001173465,0.001084486,8.89794E-05,8.89794E-05,7.582615143,17,Manufactured goods - bottled non-alcoholic drinks,0
5144,5732,0.004809805,0.003772011,0.001037795,0.001037795,21.57664543,18,Manufactured goods -  textiles,0
1303,1493,0.001218347,0.000982486,0.00023586,0.00023586,19.35905925,19,Manufactured goods -  clothes,0
1655,2310,0.001547478,0.001520123,2.73553E-05,2.73553E-05,1.76773107,20,Manufactured goods -  leather,0
8219,9166,0.007685029,0.006031795,0.001653234,0.001653234,21.512397,21,"Manufactured goods -  wood, cork and straw (exc. furniture)",0
16675,19795,0.01559166,0.013026334,0.002565326,0.002565326,16.45319292,22,Manufactured goods -  paper,0
